"Ull ge
MM"		"Volume
C,Metre"	"Weight
Tonne "		"LCG
Metre"	"TCG
Metre"		"VCG
Metre"	"  M
M,-MT"

Tank Hold1BC
	3625	569,780		740,71		34,666  	0,007 		3,927	7388,13
	3650	563,492		732,54		34,664  	0,007 		3,913	7388,03
	3675	557,203		724,36		34,6631		0,007 		3,900	7387,93
	3700	550,916		716,19		34,662  	0,007 		3,886	7387,83
	3725	544,628		708,02		34,6611		0,007 		3,873	7387,73
	3750	538,340		699,84		34,660  	0,007 		3,859	7387,64
	3775	532,052		691,67		34,658  	0,007 		3,845	7387,54
	3800	525,765		683,49		34,657  	0,007 		3,832	7379,14
	3825	519,481		675,33		34,656  	0,006 		3,818	7367,76
	3850	513,202		667,16		34,654  	0,006 		3,804	7353,23
	3875	506,926		659,00		34,653  	0,006 		3,790	7339,05
	3900	500,655		650,85		34,651  	0,006 		3,776	7324,52
	3925	494,389		642,71		34,650  	0,006 		3,763	7310,13
	3950	488,127		634,57		34,649  	0,006 		3,749	7294,91
	3975	481,871		626,43		34,647  	0,006 		3,735	7279,47
	4000	475,620		618,31		34,6461		0,006 		3,721	7264,38
	4025	469,374		610,19		34,644  	0,006 		3,707	7248,52
	4050	463,134		602,07		34,643  	0,006 		3,693	7228,49
	4075	456,901		593,97		34,6411		0,006 		3,679	7208,05
	4100	450,676		585,88		34,640  	0,006 		3,665	7188,05
	4125	444,457		577,79		34,638  	0,006 		3,651	7167,96
	4150	438,246		569,72		34,637  	0,006 		3,637	7146,63
	4175	432,043		561,66		34,635  	0,006 		3,623	7123,75
	4200	425,848		553,60		34,633  	0,006 		3,609	7100,87
	4225	419,662		545,56		34,632  	0,006 		3,595	7078,42
	4250	413,484		537,53		34,630  	0,006 		3,580	7054,93
	4275	407,316		529,51		34,628  	0,006 		3,566	7029,56
	4300	401,157		521,50		34,627  	0,006 		3,552	7004,32
	4325	395,008		513,51		34,6251		0,006 		3,537	6979,51
	4350	388,868		505,53		34,623  	0,006 		3,523	6953,13
	4375	382,741		497,56		34,621  	0,006 		3,509	6918,92
	4400	376,628		489,62		34,619  	0,006 		3,494	6870,84
	4425	370,536		481,70		34,617  	0,005 		3,480	6812,05
	4450	364,467		473,81		34,615  	0,005 		3,465	6752,70
	4475	358,422		465,95		34,614  	0,005 		3,451	6693,14
	4500	352,400		458,12		34,612  	0,005 		3,436	6635,19
	4525	346,402		450,32		34,610  	0,005 		3,422	6578,83
	4550	340,427		442,56		34,6081		0,005 		3,407	6520,30
	4575	334,479		434,82		34,6061		0,005 		3,393	6457,08
	4600	328,558		427,13		34,6041		0,005 		3,378	6395,66
	4625	322,664		419,46		34,602  	0,005 		3,364	6329,80
	4650	316,802		411,84		34,599  	0,005 		3,349	6255,49
	4675	310,971		404,26		34,5971		0,005 		3,335	6182,98
	4700	305,162		396,71		34,595  	0,005 		3,320	6113,07
	4725	299,379		389,19		34,592  	0,005 		3,305	6045,35
	4750	293,628		381,72		34,590  	0,005 		3,291	5979,03
	4775	287,911		374,28		34,587  	0,005 		3,276	5914,07
	4800	282,215		366,88		34,584  	0,005 		3,262	5851,10
	4825	276,546		359,51		34,581  	0,005 		3,247	5789,68
	4850	270,911		352,18		34,578  	0,005 		3,232	5729,35
	4875	265,309		344,90		34,575  	0,005 		3,218	5671,05
	4900	259,738		337,66		34,572  	0,004 		3,203	5614,53
	4925	254,198		330,46		34,568  	0,004 		3,189	5558,98
	4950	248,688		323,29		34,564  	0,004 		3,174	5504,40
	4975	243,208		316,17		34,560  	0,004 		3,159	5451,63
	5000	237,757		309,08		34,556  	0,004 		3,145	5400,75
	5025	232,335		302,03		34,5511		0,004 		3,130	5350,58
	5050	226,938		295,02		34,546  	0,004 		3,115	5301,07
	5075	221,568		288,04		34,5411		0,004 		3,101	5254,99
	5100	216,226		281,09		34,5351		0,004 		3,086	5210,54
	5125	210,911		274,18		34,529  	0,004 		3,071	5165,18
	5150	205,623		267,31		34,523  	0,004 		3,056	5120,92
	5175	200,362		260,47		34,517  	0,004 		3,041	5075,50
	5200	195,130		253,67		34,510  	0,004 		3,027	5024,62
	5225	189,928		246,91		34,503  	0,004 		3,012	4975,12
	5250	184,750		240,18		34,496  	0,004 		2,997	4926,60
	5275	179,602		233,48		34,488  	0,004 		2,982	4874,25
	5300	174,468		226,81		34,481  	0,004 		2,967	4816,63
	5325	169,322		220,12		34,473  	0,005 		2,952	4762,98
	5350	164,210		213,47		34,466  	0,006 		2,936	4711,24
	5375	159,130		206,87		34,4581		0,007 		2,921	4654,00
	5400	154,063		200,28		34,450  	0,008 		2,906	4583,95
	5425	148,993		193,69		34,4421		0,008 		2,890	4517,99
	5450	143,964		187,15		34,4331		0,008 		2,875	4454,27
	5475	138,976		180,67		34,425  	0,008 		2,859	4375,40
	5500	134,039		174,25		34,416  	0,008 		2,843	4286,66
	5525	129,150		167,89		34,407  	0,008 		2,827	4201,56
	5550	124,304		161,59		34,397  	0,008 		2,811	4125,69
	5575	119,506		155,36		34,388  	0,008 		2,795	4046,90
	5600	114,765		149,19		34,378  	0,008 		2,779	3953,94
	5625	110,081		143,11		34,368  	0,008 		2,763	3865,47
	5650	105,455		137,09		34,358  	0,008 		2,746	3781,38
	5675	100,889		131,16		34,348  	0,008 		2,730	3682,68
	5700	96,391		125,31		34,338  	0,008 		2,713	3573,59
	5725	91,964		119,55		34,328  	0,008 		2,696	3466,17
	5750	87,608		113,89		34,318  	0,008 		2,679	3364,41
	5775	83,328		108,33		34,308  	0,007 		2,662	3244,20
	5800	79,133		102,87		34,298  	0,007 		2,644	3124,12
	5825	75,022		97,53		34,2881		0,007 		2,627	3010,58
	5850	70,997		92,30		34,277  	0,007 		2,609	2852,35
	5875	67,091		87,22		34,267  	0,007 		2,592	2630,33
	5900	63,313		82,31		34,256  	0,007 		2,574	2420,64
	5925	59,659		77,56		34,245  	0,007 		2,556	2222,98
	5950	56,127		72,96		34,233  	0,006 		2,538	2036,68
	5975	52,716		68,53		34,221  	0,006 		2,520	1861,56
	6000	49,427		64,25		34,209  	0,006 		2,502	1697,15
	6025	46,258		60,14		34,197  	0,006 		2,484	1543,07
	6050	43,210		56,17		34,184  	0,006 		2,466	1399,01
	6075	40,281		52,36		34,1711		0,005 		2,448	1264,60
	6100	37,469		48,71		34,159  	0,005 		2,430	1139,49
	6125	34,776		45,21		34,146  	0,005 		2,412	1023,31
	6150	32,200		41,86		34,133  	0,005 		2,393	915,72
	6175	29,741		38,66		34,121  	0,005 		2,375	816,35
	6200	27,397		35,62		34,110  	0,004 		2,356	724,89
	6225	25,168		32,72		34,099  	0,004 		2,338	640,85
	6250	23,054		29,97		34,090  	0,004 		2,319	564,02
	6275	21,053		27,37		34,081  	0,003 		2,301	494,04
	6300	19,160		24,91		34,074  	0,003 		2,282	430,42
	6325	17,375		22,59		34,067  	0,003 		2,263	372,78
	6350	15,700		20,41		34,062  	0,002 		2,244	320,86
	6375	14,133		18,37		34,059  	0,002 		2,225	274,34
	6400	12,668		16,47		34,0591		0,002 		2,205	232,96
	6425	11,304		14,69		34,059  	0,001 		2,186	196,08
	6450	10,041		13,05		34,059  	0,001 		2,167	163,73
	6475	8,870		11,53		34,059  	0,001 		2,147	135,53
	6500	7,788		10,12		34,059  	0,000		2,127	110,89
	6525	6,791		8,83		34,059  	0,000		2,106	89,46
	6550	5,885		7,65		34,059  	0,000		2,086	71,14
	6575	5,069		6,59		34,058  	0,000		2,064	55,64
	6600	4,336		5,64		34,057  	0,000		2,043	42,80
	6625	3,679		4,78		34,0551		0,000		2,021	32,11
	6630	3,557		4,62		34,054  	0,000		2,017	30,23





