"Ull ge
MM"		"Volume
C,Metre"	"Weight
Tonne "		"LCG
Metre"	"TCG
Metre"		"VCG
Metre"	"  M
M,-MT"

Tank Hold1BC
	4250		371,047		482,36		88,295  	0,007 		3,558		5044,21
	4275		365,636		475,33		88,299  	0,007 		3,544		5018,91
	4300		360,237		468,31		88,302  	0,007 		3,530		4992,64
	4325		354,850		461,31		88,3061		0,006 		3,516		4966,66
	4350		349,475		454,32		88,310  	0,006 		3,501		4941,01
	4375		344,113		447,35		88,314  	0,006 		3,487		4911,90
	4400		338,764		440,39		88,318  	0,006 		3,473		4880,55
	4425		333,431		433,46		88,322  	0,006 		3,458		4848,45
	4450		328,112		426,55		88,3261		0,006 		3,444		4816,98
	4475		322,808		419,65		88,330  	0,006 		3,429		4786,13
	4500		317,520		412,78		88,335  	0,006 		3,415		4749,51
	4525		312,252		405,93		88,339  	0,006 		3,400		4700,83
	4550		307,009		399,11		88,344  	0,006 		3,386		4650,80
	4575		301,790		392,33		88,349  	0,006 		3,371		4599,50
	4600		296,598		385,58		88,353  	0,006 		3,357		4549,60
	4625		291,431		378,86		88,359  	0,006 		3,342		4501,10
	4650		286,290		372,18		88,364  	0,006 		3,328		4453,93
	4675		281,176		365,53		88,3691		0,006 		3,313		4408,07
	4700		276,078		358,90		88,375  	0,006 		3,299		4363,54
	4725		270,998		352,30		88,381  	0,006 		3,284		4319,73
	4750		265,948		345,73		88,387  	0,006 		3,270		4276,33
	4775		260,924		339,20		88,393  	0,006 		3,255		4233,69
	4800		255,918		332,69		88,399  	0,006 		3,241		4193,28
	4825		250,933		326,21		88,406  	0,005 		3,226		4154,01
	4850		245,976		319,77		88,413  	0,005 		3,211		4114,84
	4875		241,048		313,36		88,420  	0,005 		3,197		4075,62
	4900		236,146		306,99		88,428  	0,005 		3,182		4037,63
	4925		231,272		300,65		88,436  	0,005 		3,168		3996,66
	4950		226,425		294,35		88,444  	0,005 		3,153		3956,57
	4975		221,606		288,09		88,453  	0,005 		3,138		3917,56
	5000		216,814		281,86		88,462  	0,005 		3,124		3880,97
	5025		212,047		275,66		88,471  	0,005 		3,109		3845,23
	5050		207,304		269,49		88,481  	0,004 		3,095		3809,86
	5075		202,586		263,36		88,492  	0,004 		3,080		3775,04
	5100		197,895		257,26		88,503  	0,004 		3,065		3740,93
	5125		193,232		251,20		88,515  	0,004 		3,051		3707,72
	5150		188,595		245,17		88,527  	0,004 		3,036		3675,43
	5175		183,985		239,18		88,540  	0,004 		3,021		3641,71
	5200		179,402		233,22		88,553  	0,004 		3,007		3602,47
	5225		174,848		227,30		88,567  	0,004 		2,992		3564,35
	5250		170,317		221,41		88,581  	0,004  		2,977		3527,31
	5275		165,815		215,56		88,597  	0,004 		2,962		3484,14
	5300		161,327		209,73		88,612  	0,004 		2,948		3435,04
	5325		156,829		203,88		88,628  	0,005 		2,933		3388,55
	5350		152,364		198,07		88,6451		0,007 		2,918		3343,69
	5375		147,931		192,31		88,6631		0,008 		2,903		3295,88
	5400		143,509		186,56		88,681  	0,008 		2,888		3240,53
	5425		139,081		180,81		88,700  	0,008 		2,873		3188,75
	5450		134,690		175,10		88,719  	0,008 		2,858		3138,83
	5475		130,336		169,44		88,740  	0,008 		2,843		3083,33
	5500		126,021		163,83		88,760  	0,008 		2,828		3026,80
	5525		121,744		158,27		88,782  	0,008 		2,812		2973,73
	5550		117,502		152,75		88,804  	0,008 		2,797		2923,22
	5575		113,297		147,29		88,826  	0,008 		2,782		2873,11
	5600		109,135		141,87		88,8491		0,008 		2,766		2812,48
	5625		105,015		136,52		88,8731		0,008 		2,751		2756,06
	5650		100,938		131,22		88,896  	0,008 		2,735		2703,17
	5675		96,902		125,97		88,920  	0,008 		2,719		2651,19
	5700		92,911		120,78		88,943  	0,008 		2,704		2590,57
	5725		88,964		115,65		88,967  	0,008 		2,688		2533,35
