

   TANK APT__A_P_TK_(C)
     11,927    11,900    451,39
     12,027    12,000    453,72
     12,127    12,100    455,59
     12,227    12,200    457,57
     12,327    12,300    459,65
     12,427    12,400    461,82
     12,527    12,500    464,07
     12,627    12,600    466,43
     12,727    12,700    468,87
     12,827    12,800    471,62
     12,927    12,900    474,74
     13,027    13,000    477,99
     13,127    13,100    481,35
     13,227    13,200    484,27
     13,327    13,300    487,88
     13,427    13,400    491,64
     13,527    13,500    495,55
     13,627    13,600    499,62
     13,727    13,700    503,84
     13,827    13,800    508,23
     13,927    13,900    512,79
     14,027    14,000    517,53
     14,127    14,100    522,47
     14,227    14,200    527,60
     14,327    14,300    532,92
     14,427    14,400    538,44
     14,527    14,500    544,17
     14,627    14,600    550,11
     14,727    14,700    556,27
     14,827    14,800    562,67
     14,927    14,900    569,30
     15,027    15,000    576,15
     15,127    15,100    583,24
     15,227    15,200    590,57
     15,327    15,300    598,12
     15,427    15,400    605,91
     15,527    15,500    613,95
     15,627    15,600    622,24
     15,727    15,700    630,79
     15,827    15,800    639,58
     15,927    15,900    648,64
     16,027    16,000    657,95
     16,127    16,100    667,54
     16,227    16,200    677,39
     16,327    16,300    687,35
     16,427    16,400    697,73
     16,527    16,500    708,40
     16,627    16,600    719,35
     16,727    16,700    730,60
     16,827    16,800    742,13
     16,927    16,900    753,94
     17,027    17,000    766,05
     17,150    17,123    781,32


TANK SWB1P__NO_1S_W_B_TK_(P)
     -0,000     0,000      0,00
      0,100     0,100      2,01
      0,200     0,200      4,58
      0,300     0,300      7,51
      0,400     0,400     10,73
      0,500     0,500     14,20
      0,600     0,600     17,92
      0,700     0,700     21,86
      0,800     0,800     26,02
      0,900     0,900     30,38
      1,000     1,000     34,94
      1,100     1,100     39,68
      1,200     1,200     44,59
      1,300     1,300     49,66
      1,400     1,400     54,89
      1,500     1,500     60,27
      1,600     1,600     65,79
      1,700     1,700     69,89
      1,800     1,800     74,12
      1,900     1,900     78,48
      2,000     2,000     82,96
      2,100     2,100     87,56
      2,200     2,200     92,27
      2,300     2,300     97,08
      2,400     2,400    102,00
      2,500     2,500    107,03
      2,600     2,600    112,15
      2,700     2,700    117,37
      2,800     2,800    122,68
      2,900     2,900    128,08
      3,000     3,000    133,56
      3,100     3,100    139,14
      3,200     3,200    144,79
      3,300     3,300    150,52
      3,400     3,400    156,33
      3,500     3,500    162,22
      3,600     3,600    168,18
      3,700     3,700    174,21
      3,800     3,800    180,30
      3,900     3,900    186,47
      4,000     4,000    192,69
      4,100     4,100    198,98
      4,200     4,200    205,33
      4,300     4,300    209,60
      4,400     4,400    213,70
      4,500     4,500    217,86
      4,600     4,600    222,07
      4,700     4,700    226,33
      4,800     4,800    230,64
      4,900     4,900    235,00
      5,000     5,000    239,41
      5,100     5,100    243,87
      5,200     5,200    248,38
      5,300     5,300    252,94
      5,400     5,400    257,54


      5,500     5,500    262,18
      5,600     5,600    266,87
      5,700     5,700    271,60
      5,800     5,800    276,38
      5,900     5,900    281,19
      6,000     6,000    286,05
      6,100     6,100    290,96
      6,200     6,200    295,90
      6,300     6,300    300,88
      6,400     6,400    305,91
      6,500     6,500    310,98
      6,600     6,600    316,09
      6,700     6,700    321,24
      6,800     6,800    326,43
      6,900     6,900    331,67
      7,000     7,000    336,95
      7,100     7,100    342,27
      7,200     7,200    347,63
      7,300     7,300    353,04
      7,400     7,400    358,49
      7,500     7,500    363,99
      7,600     7,600    369,54
      7,700     7,700    375,13
      7,800     7,800    380,76
      7,900     7,900    386,45
      8,000     8,000    392,18
      8,100     8,100    397,97
      8,200     8,200    403,81
      8,300     8,300    409,69
      8,400     8,400    415,64
      8,500     8,500    421,63
      8,600     8,600    427,69
      8,700     8,700    433,80
      8,800     8,800    439,97
      8,900     8,900    446,20
      9,000     9,000    452,50
      9,100     9,100    458,87
      9,200     9,200    465,30
      9,300     9,300    471,81
      9,400     9,400    478,29
      9,500     9,500    483,38
      9,600     9,600    488,54
      9,700     9,700    493,78
      9,800     9,800    499,11
      9,900     9,900    504,51
     10,000    10,000    510,01
     10,100    10,100    515,59
     10,200    10,200    521,26
     10,300    10,300    527,03
     10,400    10,400    532,90
     10,500    10,500    538,87
     10,600    10,600    544,94
     10,700    10,700    551,13
     10,800    10,800    557,43
     10,900    10,900    563,84
     11,000    11,000    570,37
     11,100    11,100    577,03
     11,200    11,200    583,80
     11,300    11,300    590,69
     11,400    11,400    597,71
     11,500    11,500    604,86
     11,600    11,600    612,13


     11,700    11,700    619,53
     11,800    11,800    627,07
     11,900    11,900    634,74
     11,986    11,986    641,44


  TANK SWB1S__NO_1S_W_B_TK_(S)
     -0,000     0,000      0,00
      0,100     0,100      2,40
      0,200     0,200      5,43
      0,300     0,300      8,87
      0,400     0,400     12,64
      0,500     0,500     16,70
      0,600     0,600     21,02
      0,700     0,700     25,58
      0,800     0,800     30,36
      0,900     0,900     35,20
      1,000     1,000     40,11
      1,100     1,100     45,19
      1,200     1,200     50,45
      1,300     1,300     55,87
      1,400     1,400     61,45
